"timestamp","metricbeat_system_cpu_user_pct","metricbeat_system_cpu_idle_pct","metricbeat_system_cpu_total_pct","metricbeat_host_name","metricbeat_host_ip"
"2024-12-04T18:10:47.654Z","","","","",""
"2024-12-04T18:10:47.092Z","","","","",""
"2024-12-04T18:08:13.385Z","","","","",""
"2024-12-04T18:08:13.381Z","","","","",""
"2024-12-04T18:08:13.385Z","","","","",""
"2024-12-04T18:08:13.385Z","","","","",""
"2024-12-04T18:06:15.743Z","","","","",""
"2024-12-04T18:06:15.743Z","","","","",""
"2024-12-04T18:06:15.744Z","","","","",""
"2024-12-04T17:51:33.159Z","","","","",""
"2024-12-04T18:07:58.263Z","","","","",""
"2024-12-04T17:50:24.179Z","","","","",""
"2024-12-04T17:55:31.893Z","","","","",""
"2024-12-04T18:08:58.768Z","","","","",""
"2024-12-04T18:08:28.333Z","","","","",""
"2024-12-04T17:55:01.505Z","","","","",""
"2024-12-04T18:51:41.220Z","","","","",""
"2024-12-04T18:51:41.219Z","","","","",""
"2024-12-04T18:51:41.223Z","","","","",""
"2024-12-04T18:51:41.220Z","","","","",""
"2024-12-04T18:51:41.223Z","","","","",""
"2024-12-04T18:51:41.223Z","","","","",""
"2024-12-04T18:51:41.225Z","","","","",""
"2024-12-04T18:51:41.225Z","","","","",""
"2024-12-04T18:51:41.225Z","","","","",""
"2024-12-04T18:51:41.240Z","","","","",""
"2024-12-04T18:51:41.240Z","","","","",""
"2024-12-04T18:51:41.240Z","","","","",""
"2024-12-04T18:53:41.735Z","","","","",""
"2024-12-04T18:53:41.743Z","","","","",""
"2024-12-04T18:53:41.744Z","","","","",""
"2024-12-04T18:53:41.744Z","","","","",""
"2024-12-04T18:53:32.909Z","","","","",""
"2024-12-04T18:53:32.914Z","","","","",""
"2024-12-04T18:53:32.915Z","","","","",""
"2024-12-04T18:53:32.915Z","","","","",""
"2024-12-04T18:52:11.165Z","","","","",""
"2024-12-04T18:52:11.165Z","","","","",""
"2024-12-04T18:52:11.166Z","","","","",""
"2024-12-04T18:55:03.221Z","","","","",""
"2024-12-04T18:58:50.620Z","","","","",""
"2024-12-04T18:57:03.217Z","","","","",""
"2024-12-04T18:52:21.704Z","","","","",""
"2024-12-04T18:44:12.228Z","","","","",""
"2024-12-04T18:24:31.550Z","","","","",""
"2024-12-04T18:24:31.550Z","","","","",""
"2024-12-04T18:24:31.554Z","","","","",""
